user_id,experiment_name,variant,assigned_at
1,product_page_redesign,B,2024-01-23
2,product_page_redesign,A,2024-01-28
3,product_page_redesign,B,2024-01-11
4,product_page_redesign,A,2024-01-23
5,product_page_redesign,B,2024-01-02
6,product_page_redesign,A,2024-01-09
7,product_page_redesign,B,2024-01-14
8,product_page_redesign,A,2024-01-03
9,product_page_redesign,B,2024-01-16
10,product_page_redesign,A,2024-01-29
11,product_page_redesign,B,2024-01-08
12,product_page_redesign,A,2024-01-12
13,product_page_redesign,B,2024-01-15
14,product_page_redesign,A,2024-01-27
15,product_page_redesign,B,2024-01-10
16,product_page_redesign,A,2024-01-07
17,product_page_redesign,B,2024-01-17
18,product_page_redesign,A,2024-01-10
19,product_page_redesign,B,2024-01-06
20,product_page_redesign,A,2024-01-04
21,product_page_redesign,B,2024-01-12
22,product_page_redesign,A,2024-01-26
23,product_page_redesign,B,2024-01-02
24,product_page_redesign,A,2024-01-25
25,product_page_redesign,B,2024-01-07
26,product_page_redesign,A,2024-01-30
27,product_page_redesign,B,2024-01-03
28,product_page_redesign,A,2024-01-15
29,product_page_redesign,B,2024-01-17
30,product_page_redesign,A,2024-01-01
31,product_page_redesign,B,2024-01-26
32,product_page_redesign,A,2024-01-16
33,product_page_redesign,B,2024-01-29
34,product_page_redesign,A,2024-01-17
35,product_page_redesign,B,2024-01-05
36,product_page_redesign,A,2024-01-07
37,product_page_redesign,B,2024-01-11
38,product_page_redesign,A,2024-01-30
39,product_page_redesign,B,2024-01-16
40,product_page_redesign,A,2024-01-24
41,product_page_redesign,B,2024-01-28
42,product_page_redesign,A,2024-01-17
43,product_page_redesign,B,2024-01-10
44,product_page_redesign,A,2024-01-25
45,product_page_redesign,B,2024-01-11
46,product_page_redesign,A,2024-01-05
47,product_page_redesign,B,2024-01-25
48,product_page_redesign,A,2024-01-28
49,product_page_redesign,B,2024-01-04
50,product_page_redesign,A,2024-01-27
51,product_page_redesign,B,2024-01-17
52,product_page_redesign,A,2024-01-22
53,product_page_redesign,B,2024-01-05
54,product_page_redesign,A,2024-01-07
55,product_page_redesign,B,2024-01-24
56,product_page_redesign,A,2024-01-02
57,product_page_redesign,B,2024-01-15
58,product_page_redesign,A,2024-01-13
59,product_page_redesign,B,2024-01-23
60,product_page_redesign,A,2024-01-28
61,product_page_redesign,B,2024-01-17
62,product_page_redesign,A,2024-01-04
63,product_page_redesign,B,2024-01-01
64,product_page_redesign,A,2024-01-10
